,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
0,0,0.514,0.521,0.084,0.181,0.15,0.132,0.148,0.5
1,0,0.372,0.353,0.08,0.079,0.066,0.063,0.068,0.214
2,1,0.615,0.613,0.119,0.239,0.172,0.186,0.208,0.286
3,0,0.493,0.521,0.111,0.182,0.144,0.149,0.153,0.321
4,2,0.345,0.336,0.071,0.072,0.06,0.051,0.053,0.214
5,2,0.473,0.412,0.084,0.124,0.094,0.101,0.118,0.25
6,1,0.615,0.605,0.133,0.275,0.159,0.186,0.327,0.679
7,1,0.635,0.622,0.111,0.271,0.197,0.196,0.258,0.536
8,0,0.541,0.529,0.111,0.18,0.145,0.147,0.163,0.286
9,1,0.642,0.647,0.133,0.316,0.211,0.198,0.317,0.643
10,1,0.608,0.546,0.124,0.214,0.13,0.194,0.208,0.464
11,0,0.48,0.496,0.097,0.143,0.112,0.106,0.133,0.321
12,0,0.561,0.546,0.119,0.191,0.146,0.124,0.188,0.357
13,1,0.622,0.588,0.128,0.242,0.183,0.224,0.203,0.321
14,1,0.534,0.504,0.088,0.168,0.112,0.105,0.183,0.321
15,0,0.574,0.58,0.115,0.235,0.173,0.174,0.238,0.393
16,2,0.378,0.378,0.075,0.102,0.063,0.051,0.113,0.214
17,1,0.493,0.479,0.088,0.159,0.126,0.114,0.128,0.321
18,0,0.392,0.403,0.071,0.09,0.065,0.056,0.098,0.214
19,0,0.507,0.445,0.088,0.134,0.114,0.098,0.113,0.286
20,0,0.378,0.378,0.084,0.086,0.064,0.081,0.073,0.357
21,2,0.412,0.37,0.088,0.079,0.053,0.064,0.083,0.321
22,1,0.662,0.647,0.137,0.332,0.287,0.281,0.268,0.393
23,1,0.642,0.605,0.119,0.27,0.213,0.276,0.198,0.286
24,1,0.73,0.714,0.146,0.411,0.344,0.396,0.302,0.321
25,1,0.655,0.647,0.124,0.328,0.257,0.247,0.297,0.357
26,1,0.682,0.664,0.164,0.352,0.265,0.357,0.283,0.357
27,0,0.696,0.655,0.124,0.329,0.239,0.307,0.278,0.393
28,0,0.716,0.706,0.159,0.331,0.264,0.288,0.292,0.5
29,0,0.676,0.622,0.124,0.305,0.264,0.298,0.198,0.357
30,0,0.682,0.697,0.146,0.353,0.264,0.318,0.327,0.321
31,1,0.818,0.849,0.146,0.58,0.407,0.369,0.457,0.5
32,0,0.797,0.79,0.146,0.473,0.37,0.47,0.347,0.607
33,1,0.818,0.832,0.155,0.636,0.547,0.516,0.452,0.643
34,1,0.851,0.832,0.177,0.605,0.425,0.541,0.487,0.429
35,0,0.527,0.504,0.093,0.169,0.152,0.163,0.123,0.25
36,1,0.628,0.706,0.137,0.43,0.356,0.404,0.337,0.536
37,1,0.507,0.504,0.093,0.184,0.159,0.153,0.143,0.25
38,1,0.676,0.655,0.119,0.312,0.256,0.267,0.258,0.357
39,0,0.378,0.395,0.08,0.115,0.089,0.113,0.088,0.286
40,1,0.507,0.471,0.093,0.15,0.125,0.119,0.113,0.286
41,1,0.642,0.622,0.119,0.301,0.243,0.257,0.268,0.464
42,2,0.223,0.202,0.04,0.024,0.021,0.03,0.018,0.143
43,2,0.176,0.16,0.049,0.014,0.016,0.019,0.01,0.143
44,2,0.182,0.16,0.044,0.014,0.011,0.016,0.013,0.107
45,2,0.426,0.403,0.084,0.071,0.058,0.059,0.073,0.214
46,0,0.534,0.529,0.106,0.205,0.196,0.298,0.138,0.286
47,1,0.52,0.538,0.106,0.162,0.119,0.144,0.148,0.214
48,2,0.338,0.319,0.062,0.056,0.05,0.033,0.043,0.179
49,1,0.608,0.622,0.142,0.295,0.238,0.28,0.243,0.286
50,2,0.601,0.597,0.106,0.21,0.16,0.145,0.188,0.25
51,0,0.439,0.445,0.084,0.107,0.089,0.078,0.098,0.214
52,0,0.554,0.513,0.115,0.191,0.174,0.126,0.158,0.321
53,1,0.534,0.513,0.106,0.168,0.141,0.138,0.148,0.321
