,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
0,0.301,0,0.043,0,0.8,0,0,0,0,0,0.022,0.0,0.398,0,0
1,0.452,1,0.047,0,0.8,1,1,1,0,0,0.0,0.0,0.122,0,0
2,0.288,2,0.137,1,0.533,2,2,0,0,0,0.0,0.0,0.398,0,0
3,0.493,2,0.15,2,0.4,1,2,1,1,0,0.0,0.0,0.398,0,0
4,0.151,2,0.221,0,0.8,1,3,2,1,1,0.0,0.0,0.398,1,0
5,0.274,2,0.184,3,0.867,1,1,2,0,1,0.0,0.0,0.398,0,0
6,0.438,2,0.1,4,0.267,3,4,0,1,1,0.0,0.0,0.153,2,0
7,0.479,1,0.133,1,0.533,1,1,1,0,0,0.0,0.0,0.449,0,1
8,0.192,2,0.022,3,0.867,0,3,0,0,1,0.141,0.0,0.5,0,1
9,0.342,2,0.099,0,0.8,1,1,1,0,0,0.052,0.0,0.398,0,1
10,0.274,2,0.181,5,0.6,1,1,1,1,0,0.0,0.0,0.806,0,1
11,0.178,0,0.087,0,0.8,1,3,1,2,0,0.0,0.0,0.398,3,1
12,0.082,2,0.074,0,0.8,0,0,3,0,1,0.0,0.0,0.296,0,0
13,0.205,2,0.13,6,0.733,0,5,0,1,0,0.0,0.0,0.5,0,0
15,0.233,2,0.158,7,0.2,1,6,1,3,0,0.0,0.0,0.449,4,0
16,0.11,1,0.111,1,0.533,0,7,3,0,0,0.0,0.0,0.347,0,0
17,0.205,2,0.118,1,0.533,0,8,4,0,0,0.0,0.0,0.398,0,0
18,0.288,2,0.01,2,0.4,1,5,1,0,0,0.0,0.0,0.5,0,0
19,0.356,1,0.189,3,0.867,2,1,4,0,1,0.0,0.0,0.449,0,1
20,0.315,2,0.122,8,1.0,1,3,1,0,0,0.0,0.0,0.602,0,1
21,0.507,2,0.196,1,0.533,4,4,4,1,1,0.0,0.0,0.194,0,0
22,0.247,3,0.043,4,0.267,1,7,1,1,0,0.0,0.0,0.398,0,0
23,0.356,2,0.07,2,0.4,1,6,1,0,0,0.0,0.469,0.398,0,0
24,0.575,2,0.065,1,0.533,2,9,4,0,1,0.0,0.0,0.398,0,0
25,0.534,4,0.138,0,0.8,1,9,1,0,0,0.0,0.0,0.398,0,1
26,0.027,2,0.105,1,0.533,0,10,3,0,0,0.0,0.0,0.398,0,0
28,0.301,2,0.24,1,0.533,2,1,0,0,0,0.0,0.0,0.806,0,0
29,0.438,2,0.122,1,0.533,1,10,1,0,0,0.0,0.0,0.398,0,0
30,0.082,4,0.12,6,0.733,0,11,0,0,0,0.0,0.0,0.52,0,0
31,0.041,2,0.171,5,0.6,0,5,3,1,0,0.0,0.0,0.439,0,0
32,0.384,2,0.254,0,0.8,2,1,3,0,0,0.0,0.323,0.398,0,0
33,0.178,3,0.031,5,0.6,1,0,3,0,0,0.0,0.0,0.398,0,0
34,0.068,0,0.202,5,0.6,1,4,1,1,0,0.0,0.0,0.143,0,0
35,0.425,2,0.155,2,0.4,0,8,4,0,0,0.0,0.0,0.398,5,0
36,0.055,2,0.125,5,0.6,0,8,3,0,0,0.0,0.0,0.398,0,0
37,0.027,2,0.361,1,0.533,5,0,2,0,1,0.0,0.0,0.245,0,0
39,0.425,1,0.171,6,0.733,1,3,1,0,0,0.0,0.0,0.398,0,0
40,0.192,2,0.336,4,0.267,1,8,1,0,0,0.0,0.0,0.429,0,0
41,0.493,1,0.051,0,0.8,1,3,1,0,0,0.0,0.0,0.398,0,0
42,0.096,2,0.108,0,0.8,1,9,1,0,0,0.0,0.0,0.5,0,0
43,0.438,2,0.055,1,0.533,4,0,4,0,1,0.0,0.0,0.398,0,0
44,0.11,2,0.188,1,0.533,0,2,0,0,0,0.0,0.0,0.347,0,0
45,0.548,3,0.22,0,0.8,1,3,1,1,0,0.0,0.0,0.398,0,1
46,0.493,2,0.089,1,0.533,1,8,1,0,0,0.0,0.0,0.378,0,0
