,atribute,average_value,max_value,min_value,standard_deviation
0,fixed_acidity,6.854787668436097,14.2,3.8,0.843868227687513
1,volatile_acidity,0.27824111882400976,1.1,0.08,0.10079454842486534
2,citric_acid,0.33419150673744386,1.66,0.0,0.12101980420298249
3,residual_sugar,6.391414863209474,65.8,0.6,5.072057784014881
4,chlorides,0.04577235606369947,0.34600000000000003,0.009000000000000001,0.021847968093728798
5,free_sulfur_dioxide,35.30808493262556,289.0,2.0,17.00713732523259
6,total_sulfur_dioxide,138.36065741118824,440.0,9.0,42.49806455414291
7,density,0.9940273764801959,1.03898,0.98711,0.0029909069169369367
8,pH,3.1882666394446715,3.82,2.72,0.1510005996150668
9,sulphates,0.48984687627603113,1.08,0.22,0.1141258339488323
10,alcohol,10.514267047774602,14.2,8.0,1.230620567757318
